"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"验证付款方余额不足场景：使用赵六（余额仅 100 元）作为付款方， 向张三转账 200 元。付款方余额（100 元）不足以支付转账金额（200 元）， 后端触发 BALANCE_INSUFFICIENT 错误（10001）。 交易状态 FAILED，retryFlag=false 不允许重试。
","11","TC_TRANSFER_NEG_DAILY_LIMIT_004: 异常转账-付款方余额不足（低余额账户） [预期 10001]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"手机银行（MB）单笔限额 50,000 元。 使用张三账户发起恰好 50,000.00 元的转账， 验证边界值不触发超限，交易应成功。
","7","TC_Transfer_056: 边界值-转账金额等于单笔限额精确值 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"强制指定 routeMode=HVPS（大额支付系统），但 HVPS 仅工作日 8:30–17:00 开放。在非工作时间发送请求，验证后端返回 ROUTE_UNAVAILABLE（10009），允许用户切换路由重试。 注：测试结果受当前系统时间影响，非工作时间可验证拦截逻辑。
","8","TC_Transfer_038: 清算路由-强制指定HVPS非工作时间拒绝 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"付款账户处于 PARTIAL_FROZEN（部分冻结）状态。 吴九（acct_no=6222021234567896）余额 100,000 元， 冻结金额 95,000 元，实际可用余额仅 5,000 元。 发起 8,000 元转账，超过可用余额， 触发 ACCOUNT_STATUS_ABNORMAL（10004）或 BALANCE_INSUFFICIENT（10001）。
","9","TC_Transfer_024: 账户状态-付款账户部分冻结可用余额不足 [预期 10004]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"VIP 客户（star_level=5）跨行转账手续费减免 50%。 使用 VIP 客户刘（acct_no=6222028888888888，star_level=5） 发起 60,000 元跨行转账。正常手续费为 60,000×0.03%=18 元， VIP 减半为 9 元。验证 response.body.feeAmount=9.00。
","7","TC_Transfer_045: 手续费-VIP客户跨行手续费减免50% [预期 10004]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证当转账金额输入为负数（-100.00）时，系统能在参数校验阶段 识别非法输入并拒绝交易。负数金额在语义上属于非法参数， 后端在框架层（Controller Advice）即拦截并返回 HTTP 400， 响应体 code 为 PARAM_INVALID，不会进入后续扣款流程。
","5","TC_TRANSFER_NEG_INVALID_005: 非法输入测试-转账金额为负数 [预期 ]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"证件号码 idNo 有格式校验。传入非法的证件号码， 验证后端参数校验拦截。
","9","TC_Transfer_060: 边界值-付款人证件号码格式非法 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"faceToken 有效期为 120 秒，传入已过期的 faceToken， 验证后端返回 AUTH_FAILED（10007），提示人脸认证过期。
","8","TC_Transfer_033: 安全认证-人脸Token无效或已过期 [预期 10003]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"规则1明确：可用余额 ≥ 转账金额 + 预估手续费。 赵六（acct_no=6222021234567893，balance=100.00）发起 95.00 元 跨行异地转账（手续费区间 15 元），95+15=110 > 100 余额， 触发 BALANCE_INSUFFICIENT（10001），失败原因应体现手续费因素。
","8","TC_Transfer_044: 手续费-余额刚好覆盖本金但不足覆盖手续费 [预期 10001]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证当付款方账户余额不足以支付转账金额时的错误处理。 使用赵六（余额仅 100 元）作为付款方，向李四收款转账 200 元。 因付款方余额（100 元）不足以支付转账金额（200 元）， 后端触发 BALANCE_INSUFFICIENT 错误（10001）， 交易状态 FAILED，retryFlag=false 不允许重试。
","17","TC_TRANSFER_NEG_RISK_006: 风险场景-付款方余额不足（赵六余额100元） [预期 10001]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"手续费承担方为收款方（feeBearer=02）。 使用张三发起 1,000 元跨行转账，手续费由收款方承担。 验证付款方仅扣除转账本金 1,000 元。
","10","TC_Transfer_047: 手续费-收款方承担手续费feeBearer=02 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"交易附言 remitInfo 不得仅包含数字（疑似暗语编码）， 需含中英文至少 1 个字符。 设置 remitInfo=""1234567890""，验证返回 REMIT_INFO_BLOCKED（10012）。
","7","TC_Transfer_051: 合规-附言纯数字拦截 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"超级网银（IBPS）单笔上限 50,000 元。 强制指定 routeMode=IBPS 且金额为 60,000 元， 验证后端因 IBPS 单笔上限拦截，返回 ROUTE_UNAVAILABLE（10009） 或 SINGLE_LIMIT_EXCEEDED（10003）。
","7","TC_Transfer_039: 清算路由-强制指定IBPS金额超5万拦截 [预期 10003]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"验证当付款方账户处于 FROZEN（司法冻结）状态时的错误处理。 使用周八（卡号 6222021234567895，状态 FROZEN，余额 100,000）作为付款方， 向李四收款转账 500 元。因付款账户被冻结， 后端在余额扣减前即触发 ACCOUNT_STATUS_ABNORMAL 错误（10004）， 交易状态 FAILED，retryFlag=false 不允许重试。
","7","TC_TRANSFER_NEG_LOCK_008: 锁定/冻结场景-付款账户司法冻结（周八） [预期 10004]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"付款账户处于 LOST（挂失）状态。 郑十（acct_no=6222021234567897）已办理口头/正式挂失， 发起任意金额转账均应被拦截。 触发 ACCOUNT_STATUS_ABNORMAL 错误（10004）。
","7","TC_Transfer_025: 账户状态-付款账户挂失禁止转账 [预期 10004]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"nonce 格式为 {timestamp}_{randomString}，timestamp 与服务器时间 偏差不得超过 ±300 秒。构造一个时间戳偏差 -400 秒的 nonce， 验证后端返回 REPLAY_ATTACK（10008），提示时间戳异常。 注：nonce 中的 timestamp 需在代码层面构造，YAML 无法直接生成过期时间戳； 本用例需配合 Python 辅助函数 generate_expired_nonce() 使用， 或在测试框架中支持 <time_offset:-400> 占位符。
","9","TC_Transfer_036: 防重放-nonce时间戳偏差超过300秒 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
"收款方账号不存在，触发 ACCOUNT_STATUS_ABNORMAL 错误（后端先校验账户存在性， 再校验卡BIN一致性）。验证系统能正确拒绝并向调用方返回明确的错误原因。
","9","TC_TRANSFER_NEG_001: 异常转账-收款方账号不存在 [预期 10002]","testcases","2026-06-14","passed","2026-06-14","","test_transfer","",""
